year,lag_log_Age3_tot,forecast
1988,1.155652585162222,
1989,-1.258063212,
1990,-0.669318691,
1991,0.18675272602787696,
1992,0.2814567895834216,
1993,0.4890228576443972,
1994,-3.028783219,
1995,-0.955569993,
1996,-0.096201432,
1997,-0.237731096,
1998,-3.028783219,
1999,-0.834386603,
2000,-0.224797645,
2001,0.5162951664540709,
2002,-0.146019315,39900.00
2003,-1.132774383,22100.00
2004,0.5291447493665815,80600.00
2005,0.025253058,70700.00
2006,-0.481401032,31100.00
2007,-1.060063601,27300.00
2008,0.48779797302550904,75600.00
2009,0.6913005858760477,183800.00
2010,0.8157047486100328,125200.00
2011,0.31353083119087993,161900.00
2012,1.111397609540352,462000.00
2013,0.41584137455808406,180500.00
2014,1.0319387607627273,347100.00
2015,1.467823300906522,394000.00
2016,-0.69678847,101600.00
2017,-0.070871342,198500.00
2018,0.5503150158240039,99000.00
2019,-0.565270121,94400.00
2020,1.0104418219647449,246300.00
2021,0.05029468,155600.00
2022,0.9683452619834877,198700.00
2023,0.6414400061863308,234500.00
2024,1.0160606563730088,401700.00
2025,0.5983966768313529,350300.00
2026,0.13261613827802532,274900.00
